Minute,Average of GHI,Average of Temperature
4450,0,2.3000000000000003
4460,0,2.3000000000000003
4470,0,2.4000000000000004
4480,0,2.5
4490,0,2.6
4500,0,2.6
4510,0,2.7
4520,0,2.7
4530,0,2.7
4540,0,2.7
4550,0,2.8000000000000003
4560,0,2.8000000000000003
4570,0,2.7
4580,0,2.7
4590,0,2.6
4600,0,2.6
4610,0,2.5
4620,0,2.5
4630,0,2.4000000000000004
4640,0,2.3000000000000003
4650,0,2.2
4660,0,2.1
4670,0,2
4680,0,1.9000000000000001
4690,0,1.9000000000000001
4700,0,1.9000000000000001
4710,0,1.8
4720,0,1.8
4730,0,1.8
4740,0,1.8
4750,0,2.3000000000000003
4760,0,2.9000000000000004
4770,0,3.5
4780,0,4.1000000000000005
4790,32,4.7
4800,56,5.2
4810,84,5.800000000000001
4820,114,6.300000000000001
4830,144,6.800000000000001
4840,175,7.4
4850,207,7.9
4860,240,8.4
4870,271,9.1
4880,301,9.700000000000001
4890,330,10.4
4900,359,11
4910,386,11.700000000000001
4920,412,12.3
4930,437,13
4940,460,13.700000000000001
4950,482,14.3
4960,496,15
4970,515,15.700000000000001
4980,533,16.400000000000002
4990,549,16.8
5000,563,17.2
5010,575,17.5
5020,586,17.900000000000002
5030,595,18.3
5040,602,18.7
5050,608,18.900000000000002
5060,611,19.1
5070,612,19.3
5080,612,19.6
5090,610,19.8
5100,606,20
5110,600,20.1
5120,592,20.200000000000003
5130,582,20.3
5140,565,20.400000000000002
5150,552,20.5
5160,537,20.6
5170,521,20.5
5180,503,20.400000000000002
5190,482,20.3
5200,461,20.3
5210,438,20.200000000000003
5220,414,20.1
5230,389,19.8
5240,362,19.400000000000002
5250,335,19.1
5260,306,18.7
5270,277,18.400000000000002
5280,247,18
5290,216,18
5300,185,18
5310,155,18
5320,124,18
5330,95,18
5340,67,15.9
5350,41,15.5
5360,21,15
5370,0,14.5
5380,0,14.100000000000001
5390,0,13.600000000000001
5400,0,13.200000000000001
5410,0,12.700000000000001
5420,0,12.200000000000001
5430,0,11.700000000000001
5440,0,11.200000000000001
5450,0,10.700000000000001
5460,0,10.200000000000001
5470,0,9.9
5480,0,9.600000000000001
5490,0,9.3
5500,0,9
5510,0,8.8
5520,0,8.5
5530,0,8.3
5540,0,8.200000000000001
5550,0,8.1
5560,0,8
5570,0,7.9
5580,0,7.7
5590,0,7.6000000000000005
5600,0,7.5
5610,0,7.4
5620,0,7.300000000000001
5630,0,7.2
5640,0,7.1000000000000005
5650,0,7.1000000000000005
5660,0,7
5670,0,6.9
5680,0,6.800000000000001
5690,0,6.7
5700,0,6.6000000000000005
5710,0,6.5
5720,0,6.5
5730,0,6.4
5740,0,6.300000000000001
5750,0,6.300000000000001
5760,0,6.2
5770,0,6.2
5780,0,6.1000000000000005
5790,0,6.1000000000000005
5800,0,6.1000000000000005
5810,0,6
5820,0,6
5830,0,6
5840,0,6
5850,0,6
5860,0,6
5870,0,6
5880,0,6
5890,0,6.1000000000000005
5900,0,6.2
5910,0,6.300000000000001
5920,0,6.4
5930,0,6.5
5940,0,6.6000000000000005
5950,0,6.6000000000000005
5960,0,6.6000000000000005
5970,0,6.6000000000000005
5980,0,6.5
5990,0,6.5
6000,0,6.5
6010,0,6.5
6020,0,6.6000000000000005
6030,0,6.7
6040,0,6.7
6050,0,6.800000000000001
6060,0,6.9
6070,0,7
6080,0,7
6090,0,7.1000000000000005
6100,0,7.2
6110,0,7.300000000000001
6120,0,7.4
6130,0,7.4
6140,0,7.4
6150,0,7.5
6160,0,7.5
6170,0,7.5
6180,0,7.6000000000000005
6190,0,7.800000000000001
6200,0,7.9
6210,0,8.1
6220,0,8.3
6230,8,8.5
6240,15,8.700000000000001
6250,22,9
6260,31,9.3
6270,40,9.600000000000001
6280,123,9.9
6290,147,10.200000000000001
6300,171,10.5
6310,194,10.9
6320,217,11.3
6330,267,11.700000000000001
6340,289,12.100000000000001
6350,313,12.5
6360,258,12.9
6370,372,13.600000000000001
6380,392,14.3
6390,459,15
6400,433,15.700000000000001
6410,420,16.400000000000002
6420,435,17.1
6430,211,17.2
6440,219,17.3
6450,449,17.5
6460,396,17.6
6470,403,17.8
6480,494,17.900000000000002
6490,466,17.7
6500,469,17.5
6510,372,17.3
6520,179,17
6530,178,16.8
6540,195,16.6
6550,398,16.7
6560,392,16.8
6570,230,16.900000000000002
6580,311,17
6590,302,17.1
6600,67,17.2
6610,250,17.2
6620,239,17.2
6630,74,17.2
6640,193,17.2
6650,181,17.1
6660,20,17.1
6670,207,16.7
6680,190,16.3
6690,219,15.9
6700,13,15.4
6710,12,15
6720,10,14.600000000000001
6730,9,14.600000000000001
6740,8,14.600000000000001
6750,8,14.600000000000001
6760,7,14.600000000000001
6770,6,14.600000000000001
6780,5,13.100000000000001
6790,4,13
6800,3,12.9
6810,0,12.8
6820,0,12.700000000000001
6830,0,12.600000000000001
6840,0,12.5
6850,0,12.3
6860,0,12.200000000000001
6870,0,12.100000000000001
6880,0,11.9
6890,0,11.8
6900,0,11.700000000000001
6910,0,11.600000000000001
6920,0,11.600000000000001
6930,0,11.5
6940,0,11.4
6950,0,11.4
6960,0,11.3
6970,0,11.3
6980,0,11.3
6990,0,11.3
7000,0,11.3
7010,0,11.3
7020,0,11.4
7030,0,11.3
7040,0,11.200000000000001
7050,0,11.100000000000001
7060,0,11.100000000000001
7070,0,11
7080,0,10.9
7090,0,10.8
7100,0,10.8
7110,0,10.700000000000001
7120,0,10.600000000000001
7130,0,10.5
7140,0,10.4
7150,0,10.4
7160,0,10.4
7170,0,10.4
7180,0,10.4
7190,0,10.4
7200,0,10.4
7210,0,10.4
7220,0,10.4
7230,0,10.4
7240,0,10.4
7250,0,10.3
7260,0,10.3
7270,0,10.200000000000001
7280,0,10.200000000000001
7290,0,10.100000000000001
7300,0,10
7310,0,9.9
7320,0,9.8
7330,0,9.8
7340,0,9.700000000000001
7350,0,9.700000000000001
7360,0,9.600000000000001
7370,0,9.600000000000001
7380,0,9.5
7390,0,9.4
7400,0,9.4
7410,0,9.3
7420,0,9.3
7430,0,9.200000000000001
7440,0,9.200000000000001
7450,0,9.1
7460,0,9.1
7470,0,9
7480,0,8.9
7490,0,8.9
7500,0,8.8
7510,0,8.8
7520,0,8.8
7530,0,8.8
7540,0,8.8
7550,0,8.8
7560,0,8.8
7570,0,8.8
7580,0,8.8
7590,0,8.9
7600,0,8.9
7610,0,8.9
7620,0,8.9
7630,0,9
7640,0,9.1
7650,0,9.1
7660,0,9.200000000000001
7670,8,9.200000000000001
7680,30,9.3
7690,21,9.4
7700,29,9.5
7710,77,9.5
7720,48,9.600000000000001
7730,58,9.700000000000001
7740,134,9.8
7750,186,10
7760,209,10.100000000000001
7770,103,10.3
7780,51,10.4
7790,56,10.600000000000001
7800,177,10.8
7810,159,10.9
7820,170,11.100000000000001
7830,359,11.200000000000001
7840,265,11.4
7850,278,11.600000000000001
7860,83,11.700000000000001
7870,202,11.8
7880,209,11.9
7890,174,12
7900,125,12.100000000000001
7910,128,12.200000000000001
7920,49,12.3
7930,76,12.4
7940,76,12.5
7950,223,12.600000000000001
7960,430,12.600000000000001
7970,430,12.700000000000001
7980,354,12.8
7990,127,12.8
8000,125,12.8
8010,46,12.9
8020,72,12.9
8030,70,12.9
8040,115,13
8050,41,13
8060,39,13
8070,68,13
8080,133,13
8090,124,13
8100,119,13
8110,115,12.8
8120,105,12.700000000000001
8130,125,12.600000000000001
8140,75,12.5
8150,67,12.3
8160,245,12.200000000000001
8170,50,12.200000000000001
8180,42,12.200000000000001
8190,34,12.200000000000001
8200,27,12.200000000000001
8210,21,12.200000000000001
8220,15,10.700000000000001
8230,10,10.700000000000001
8240,5,10.600000000000001
8250,0,10.5
8260,0,10.4
8270,0,10.3
8280,0,10.3
8290,0,10.200000000000001
8300,0,10.100000000000001
8310,0,10
8320,0,9.9
8330,0,9.8
8340,0,9.700000000000001
8350,0,9.700000000000001
8360,0,9.600000000000001
8370,0,9.5
8380,0,9.4
8390,0,9.4
8400,0,9.3
8410,0,9.200000000000001
8420,0,9.1
8430,0,9
8440,0,8.9
8450,0,8.8
8460,0,8.700000000000001
8470,0,8.6
8480,0,8.5
8490,0,8.4
8500,0,8.3
8510,0,8.200000000000001
8520,0,8.1
8530,0,8
8540,0,7.9
8550,0,7.800000000000001
8560,0,7.7
8570,0,7.6000000000000005
8580,0,7.5
8590,0,7.4
8600,0,7.300000000000001
8610,0,7.1000000000000005
8620,0,7
8630,0,6.9
8640,0,6.800000000000001
8650,0,6.6000000000000005
8660,0,6.4
8670,0,6.300000000000001
8680,0,6.1000000000000005
8690,0,6
8700,0,5.800000000000001
8710,0,5.7
8720,0,5.6000000000000005
8730,0,5.5
8740,0,5.4
8750,0,5.300000000000001
8760,0,5.2
8770,0,5.1000000000000005
8780,0,5.1000000000000005
8790,0,5
8800,0,4.9
8810,0,4.800000000000001
8820,0,4.7
8830,0,4.7
8840,0,4.6000000000000005
8850,0,4.6000000000000005
8860,0,4.5
8870,0,4.5
8880,0,4.4
8890,0,4.4
8900,0,4.3
8910,0,4.3
8920,0,4.3
8930,0,4.2
8940,0,4.2
8950,0,4.2
8960,0,4.1000000000000005
8970,0,4.1000000000000005
8980,0,4.1000000000000005
8990,0,4.1000000000000005
9000,0,4.1000000000000005
9010,0,4.1000000000000005
9020,0,4.1000000000000005
9030,0,4.1000000000000005
9040,0,4.1000000000000005
9050,0,4.1000000000000005
9060,0,4.1000000000000005
9070,0,4.6000000000000005
9080,0,5.1000000000000005
9090,0,5.5
9100,0,6
9110,29,6.5
9120,51,7
9130,77,7.4
9140,106,7.800000000000001
9150,135,8.3
9160,166,8.700000000000001
9170,196,9.200000000000001
9180,226,9.600000000000001
9190,256,10.200000000000001
9200,285,10.8
9210,314,11.4
9220,342,12
9230,368,12.700000000000001
9240,394,13.3
9250,418,13.600000000000001
9260,441,13.9
9270,463,14.3
9280,481,14.600000000000001
9290,500,14.9
9300,517,15.3
9310,532,15.5
9320,546,15.600000000000001
9330,559,15.8
9340,570,16
9350,579,16.2
9360,586,16.400000000000002
9370,591,16.5
9380,595,16.6
9390,597,16.7
9400,597,16.8
9410,595,16.900000000000002
9420,591,17
9430,586,17
9440,579,17.1
9450,569,17.1
9460,557,17.1
9470,546,17.2
9480,532,17.2
9490,516,17.2
9500,499,17.2
9510,479,17.1
9520,459,17.1
9530,437,17
9540,414,17
9550,389,16.8
9560,364,16.5
9570,337,16.3
9580,310,16.1
9590,281,15.8
9600,252,15.600000000000001
9610,222,15.600000000000001
9620,192,15.600000000000001
9630,161,15.600000000000001
9640,131,15.600000000000001
9650,102,15.600000000000001
9660,75,13
9670,49,12.8
9680,27,12.600000000000001
9690,0,12.4
9700,0,12.3
9710,0,12.100000000000001
9720,0,11.9
9730,0,11.8
9740,0,11.700000000000001
9750,0,11.600000000000001
9760,0,11.5
9770,0,11.4
9780,0,11.3
9790,0,11.200000000000001
9800,0,11.100000000000001
9810,0,11
9820,0,10.9
9830,0,10.9
9840,0,10.8
9850,0,10.700000000000001
9860,0,10.600000000000001
9870,0,10.5
9880,0,10.4
9890,0,10.3
9900,0,10.200000000000001
9910,0,10
9920,0,9.8
9930,0,9.600000000000001
9940,0,9.5
9950,0,9.3
9960,0,9.1
9970,0,8.9
9980,0,8.700000000000001
9990,0,8.5
10000,0,8.3
10010,0,8.200000000000001
10020,0,8
10030,0,7.800000000000001
10040,0,7.7
10050,0,7.6000000000000005
10060,0,7.5
10070,0,7.300000000000001
10080,0,7.2
10090,0,7.1000000000000005
10100,0,7
10110,0,6.9
10120,0,6.9
10130,0,6.800000000000001
10140,0,6.7
10150,0,6.6000000000000005
10160,0,6.6000000000000005
10170,0,6.6000000000000005
10180,0,6.5
10190,0,6.5
10200,0,6.4
10210,0,6.4
10220,0,6.4
10230,0,6.4
10240,0,6.300000000000001
